year,geo,structure_type,building_permits_sum,population,percentage_of_seniors,percentage_of_students,GDP_millions
2018,British Columbia,"Theatre and performing art center - movie theatre, concert hall, opera house, cultural center",4,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Total demolitions,2417,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Total major institutional and governmental projects,148,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Total major non-residential projects,1090,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Total major permits residential and non-residential,34165,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Total major residential project,33075,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Total minor commercial projects,2807,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Total minor industrial projects,845,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Total minor institutional and governmental projects,290,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Total minor non-residential projects,3942,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Total minor residential and non-residential,9756,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Total minor residential project,5814,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Trade and services,171,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Transportation terminal,9,5039661.00,17.86,11.14,246300.00
2018,British Columbia,"Transportation, utilities",31,5039661.00,17.86,11.14,246300.00
2018,British Columbia,University,17,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Utility building,19,5039661.00,17.86,11.14,246300.00
2018,British Columbia,Warehouses,113,5039661.00,17.86,11.14,246300.00
2018,British Columbia,"Welfare, home",27,5039661.00,17.86,11.14,246300.00
2018,Manitoba,Agriculture,28,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Apartment,1632,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Apartment condominium,246,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Apartment total,1878,1357879.00,15.22,13.74,62900.00
2018,Manitoba,"Churches, religion",6,1357879.00,15.22,13.74,62900.00
2018,Manitoba,"Clinic - health unit, out-patient clinic, first aid station",2,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Communication building,0,1357879.00,15.22,13.74,62900.00
2018,Manitoba,"Convention center, exhibition building",0,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Double total,236,1357879.00,15.22,13.74,62900.00
2018,Manitoba,"Elementary school, kindergarten",13,1357879.00,15.22,13.74,62900.00
2018,Manitoba,"Factories, plants",24,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Government buildings,6,1357879.00,15.22,13.74,62900.00
2018,Manitoba,"Government legislative and administration building other than office building - city hall, court of justice, embassy, parliament and senate building",0,1357879.00,15.22,13.74,62900.00
2018,Manitoba,"Hospital general - military, specialized",5,1357879.00,15.22,13.74,62900.00
2018,Manitoba,"Hotel, hotel and motel, motor hotel",6,1357879.00,15.22,13.74,62900.00
2018,Manitoba,"Hotels, restaurants",22,1357879.00,15.22,13.74,62900.00
2018,Manitoba,"Indoor recreational building - sports complex, tennis court and squash, community center, arena, curling club, swimming pool",12,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Laboratories,5,1357879.00,15.22,13.74,62900.00
2018,Manitoba,"Library, museum, art gallery, aquarium, botanical garden, archive building, scientific center",5,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Maintenance building,7,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Major multiple dwelling projects,2409,1357879.00,15.22,13.74,62900.00
2018,Manitoba,"Medical, hospital",7,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Mining and agriculture,28,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Mining building,0,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Minor multiple dwelling projects,227,1357879.00,15.22,13.74,62900.00
2018,Manitoba,"Motel, cabin for tourism",0,1357879.00,15.22,13.74,62900.00
2018,Manitoba,"Motor vehicle show room (new and used) - car dealership, used car, motorcycle and tractor sale",6,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Multiple dwelling building total,4578,1357879.00,15.22,13.74,62900.00
2018,Manitoba,"Office building - consultant's office, doctor's office, insurance company, bank, taxi stand, office with cafeteria, office with smoke shop",72,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Office buildings,73,1357879.00,15.22,13.74,62900.00
2018,Manitoba,"Office complex, office and store, office and apartment",1,1357879.00,15.22,13.74,62900.00
2018,Manitoba,"Other accommodation - student's residence, boarding house, religious residence, hostel, dormitory",1,1357879.00,15.22,13.74,62900.00
2018,Manitoba,"Other government building - police station, prison, fire station, military building",6,1357879.00,15.22,13.74,62900.00
2018,Manitoba,"Outdoor recreational building - country club, golf club campground facilities, outdoor skating rink, outdoor swimming pool",0,1357879.00,15.22,13.74,62900.00
2018,Manitoba,"Plant for manufacturing, processing and assembling goods",17,1357879.00,15.22,13.74,62900.00
2018,Manitoba,"Post-secondary institution - technical institute, trade school",1,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Recreation,12,1357879.00,15.22,13.74,62900.00
2018,Manitoba,"Restaurant, bar, tavern, night club, diner, donut shop",15,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Retail and wholesale outlets,51,1357879.00,15.22,13.74,62900.00
2018,Manitoba,"Retail complex - plaza, mall, shopping center, store and office building",14,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Row condominium,8,1357879.00,15.22,13.74,62900.00
2018,Manitoba,"Schools, education",39,1357879.00,15.22,13.74,62900.00
2018,Manitoba,"Secondary school, high school, junior high school",3,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Service stations,14,1357879.00,15.22,13.74,62900.00
2018,Manitoba,"Special building use - funeral director, crematorium, mausoleum",2,1357879.00,15.22,13.74,62900.00
2018,Manitoba,"Theatre and performing art center - movie theatre, concert hall, opera house, cultural center",0,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Total demolitions,201,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Total major institutional and governmental projects,65,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Total major non-residential projects,371,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Total major permits residential and non-residential,6080,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Total major residential project,5709,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Total minor commercial projects,498,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Total minor industrial projects,206,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Total minor institutional and governmental projects,88,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Total minor non-residential projects,792,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Total minor residential and non-residential,3550,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Total minor residential project,2758,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Trade and services,73,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Transportation terminal,3,1357879.00,15.22,13.74,62900.00
2018,Manitoba,"Transportation, utilities",17,1357879.00,15.22,13.74,62900.00
2018,Manitoba,University,17,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Utility building,14,1357879.00,15.22,13.74,62900.00
2018,Manitoba,Warehouses,38,1357879.00,15.22,13.74,62900.00
2018,Manitoba,"Welfare, home",7,1357879.00,15.22,13.74,62900.00
2018,New Brunswick,Agriculture,14,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Apartment,485,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Apartment condominium,20,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Apartment total,505,772524.00,20.48,12.67,30400.00
2018,New Brunswick,"Churches, religion",2,772524.00,20.48,12.67,30400.00
2018,New Brunswick,"Clinic - health unit, out-patient clinic, first aid station",0,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Communication building,0,772524.00,20.48,12.67,30400.00
2018,New Brunswick,"Convention center, exhibition building",0,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Double total,126,772524.00,20.48,12.67,30400.00
2018,New Brunswick,"Elementary school, kindergarten",2,772524.00,20.48,12.67,30400.00
2018,New Brunswick,"Factories, plants",11,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Government buildings,4,772524.00,20.48,12.67,30400.00
2018,New Brunswick,"Government legislative and administration building other than office building - city hall, court of justice, embassy, parliament and senate building",2,772524.00,20.48,12.67,30400.00
2018,New Brunswick,"Hospital general - military, specialized",5,772524.00,20.48,12.67,30400.00
2018,New Brunswick,"Hotel, hotel and motel, motor hotel",2,772524.00,20.48,12.67,30400.00
2018,New Brunswick,"Hotels, restaurants",11,772524.00,20.48,12.67,30400.00
2018,New Brunswick,"Indoor recreational building - sports complex, tennis court and squash, community center, arena, curling club, swimming pool",7,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Laboratories,1,772524.00,20.48,12.67,30400.00
2018,New Brunswick,"Library, museum, art gallery, aquarium, botanical garden, archive building, scientific center",1,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Maintenance building,0,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Major multiple dwelling projects,734,772524.00,20.48,12.67,30400.00
2018,New Brunswick,"Medical, hospital",5,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Mining and agriculture,15,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Mining building,1,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Minor multiple dwelling projects,166,772524.00,20.48,12.67,30400.00
2018,New Brunswick,"Motel, cabin for tourism",1,772524.00,20.48,12.67,30400.00
2018,New Brunswick,"Motor vehicle show room (new and used) - car dealership, used car, motorcycle and tractor sale",5,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Multiple dwelling building total,1527,772524.00,20.48,12.67,30400.00
2018,New Brunswick,"Office building - consultant's office, doctor's office, insurance company, bank, taxi stand, office with cafeteria, office with smoke shop",20,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Office buildings,20,772524.00,20.48,12.67,30400.00
2018,New Brunswick,"Office complex, office and store, office and apartment",0,772524.00,20.48,12.67,30400.00
2018,New Brunswick,"Other accommodation - student's residence, boarding house, religious residence, hostel, dormitory",0,772524.00,20.48,12.67,30400.00
2018,New Brunswick,"Other government building - police station, prison, fire station, military building",2,772524.00,20.48,12.67,30400.00
2018,New Brunswick,"Outdoor recreational building - country club, golf club campground facilities, outdoor skating rink, outdoor swimming pool",0,772524.00,20.48,12.67,30400.00
2018,New Brunswick,"Plant for manufacturing, processing and assembling goods",11,772524.00,20.48,12.67,30400.00
2018,New Brunswick,"Post-secondary institution - technical institute, trade school",0,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Recreation,7,772524.00,20.48,12.67,30400.00
2018,New Brunswick,"Restaurant, bar, tavern, night club, diner, donut shop",8,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Retail and wholesale outlets,36,772524.00,20.48,12.67,30400.00
2018,New Brunswick,"Retail complex - plaza, mall, shopping center, store and office building",15,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Row condominium,2,772524.00,20.48,12.67,30400.00
2018,New Brunswick,"Schools, education",16,772524.00,20.48,12.67,30400.00
2018,New Brunswick,"Secondary school, high school, junior high school",8,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Service stations,8,772524.00,20.48,12.67,30400.00
2018,New Brunswick,"Special building use - funeral director, crematorium, mausoleum",0,772524.00,20.48,12.67,30400.00
2018,New Brunswick,"Theatre and performing art center - movie theatre, concert hall, opera house, cultural center",0,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Total demolitions,140,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Total major institutional and governmental projects,29,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Total major non-residential projects,176,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Total major permits residential and non-residential,2216,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Total major residential project,2040,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Total minor commercial projects,480,772524.00,20.48,12.67,30400.00
2018,New Brunswick,Total minor industrial projects,98,772524.00,20.48,12.67,30400.00
